Method,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,AUC,AUC_Std,TPR_1FPR,TPR_1FPR_Std,TPR_5FPR,TPR_5FPR_Std
Raw Loss only,0.5146666666666667,0.029021065146238572,0.5146666666666667,0.029021065146238548,0.5174133333333333,0.026602727048551843,0.004,0.0036514837167011074,0.057333333333333326,0.03639291750388315
TSVA-v2 only,0.5233333333333333,0.020412414523193156,0.5233333333333333,0.02041241452319315,0.5246933333333332,0.029322364952707226,0.005333333333333334,0.00557773351022717,0.06000000000000001,0.016996731711975948
Hybrid TSVA + Raw Loss,0.508,0.017575235101952094,0.508,0.01757523510195207,0.5202044444444445,0.025830379281519628,0.010666666666666668,0.005962847939999439,0.06266666666666668,0.024765567494675615
Timestep-Calibrated LiRA,0.506,0.016397831834998475,0.506,0.016397831834998457,0.5186044444444444,0.02756717676092167,0.010666666666666668,0.00760116950066092,0.06266666666666668,0.022410315085295483
