Method,N_Features,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,AUC,AUC_Std,TPR_1FPR,TPR_1FPR_Std,TPR_5FPR,TPR_5FPR_Std
low_band_only,16,0.502,0.011205157542647734,0.502,0.011205157542647734,0.4945511111111111,0.013262612445852785,0.004,0.00596284793999944,0.024,0.01460593486680443
mid_band_only,16,0.546,0.01673320053068151,0.546,0.01673320053068151,0.5436444444444445,0.025079862562877756,0.024,0.01460593486680443,0.06533333333333333,0.034448028487370164
high_band_only,16,0.5146666666666666,0.013249737942901203,0.5146666666666666,0.013249737942901197,0.5216711111111111,0.007411475919723591,0.008,0.007302967433402215,0.057333333333333326,0.040442002368274936
mid_high_bands,32,0.5373333333333333,0.032180049029725794,0.5373333333333334,0.03218004902972581,0.5419288888888889,0.0316659196792988,0.021333333333333336,0.021807236311728168,0.058666666666666666,0.03176301133219092
all_bands,48,0.5233333333333333,0.020412414523193156,0.5233333333333333,0.02041241452319315,0.5246933333333332,0.029322364952707226,0.005333333333333334,0.00557773351022717,0.06000000000000001,0.016996731711975948
