Method,N_Features,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,AUC,AUC_Std,TPR_1FPR,TPR_1FPR_Std,TPR_5FPR,TPR_5FPR_Std
mean_only,24,0.5386666666666666,0.030514113310255504,0.5386666666666666,0.03051411331025547,0.5418488888888889,0.02145411641413164,0.016,0.015347819244295118,0.06000000000000001,0.02260776661041756
std_only,24,0.48600000000000004,0.024083189157584603,0.48599999999999993,0.024083189157584586,0.4819466666666667,0.01449857890013559,0.016,0.018618986725025256,0.05333333333333333,0.03299831645537222
mean_std,48,0.5233333333333333,0.020412414523193156,0.5233333333333333,0.02041241452319315,0.5246933333333332,0.029322364952707226,0.005333333333333334,0.00557773351022717,0.06000000000000001,0.016996731711975948
