Timestep,Feature,Member_Mean,Nonmember_Mean,Mean_Difference,Member_Std,Nonmember_Std,Cohens_d,Welch_t_statistic,Welch_p_value,N_Members,N_Nonmembers
50,raw_loss_mean_50,0.14487289522960783,0.1470254623889923,-0.002152567159384472,0.04164212340864695,0.045948204670124344,-0.049091507740641534,-0.776204891161069,0.4378136966010329,500,500
100,raw_loss_mean_100,0.08720436323061583,0.0891015100739896,-0.001897146843373776,0.025995710077646148,0.028594144731187713,-0.0694268678902709,-1.0977351667243254,0.27258731284530024,500,500
150,raw_loss_mean_150,0.06091746722348029,0.062288922445848535,-0.0013714552223682425,0.018603435561439206,0.020040804996056674,-0.07092945844800118,-1.1214932094897774,0.26234923614312045,500,500
200,raw_loss_mean_200,0.045169460827484686,0.04610182039067145,-0.0009323595631867618,0.01410473599760181,0.014773655343559925,-0.06455411792290784,-1.0206902248974332,0.307649113340472,500,500
300,raw_loss_mean_300,0.02632275428809221,0.02670733771007503,-0.00038458342198282106,0.008512141571564973,0.008532484456642191,-0.045126616146918375,-0.7135144506019683,0.4756942910868186,500,500
400,raw_loss_mean_400,0.015052646265365134,0.015219180835410904,-0.00016653457004577044,0.005105780510457355,0.004852094270916612,-0.03343696472556536,-0.5286848328774673,0.597141955951053,500,500
500,raw_loss_mean_500,0.007921568593010256,0.007996593941468694,-7.502534845843858e-05,0.0027619141231368665,0.002619509275401846,-0.027873329531819754,-0.4407160364649258,0.6595142980198343,500,500
750,raw_loss_mean_750,0.0007886255365446631,0.0007931908900499805,-4.5653535053173525e-06,0.00027701960951688525,0.00026514563459927607,-0.016837150855491676,-0.26621873005603125,0.7901258536164809,500,500
